time_s,position_mm,raw_value
0.006,0.038,10640
0.021,0.019,10643
0.035,0.171,10619
0.05,0.348,10591
0.065,0.418,10580
0.08,0.646,10544
0.095,1.102,10475
0.11,1.724,10396
0.124,2.234,10325
0.139,2.994,10208
0.154,3.878,10085
0.169,4.786,9936
0.184,5.626,9768
0.199,6.753,9622
0.214,8.276,9476
0.229,10.026,9182
0.243,11.633,8770
0.258,14.08,8259
0.273,15.846,7949
0.288,18.015,7623
0.303,20.14,7220
0.318,20.636,7103
0.333,21.592,6885
0.348,22.37,6714
0.362,22.426,6702
0.377,22.778,6626
0.392,22.884,6603
0.407,22.894,6601
0.422,22.884,6603
0.437,22.875,6605
0.452,22.88,6604
0.466,22.889,6602
0.481,22.884,6603
0.496,22.884,6603
0.511,22.894,6601
0.526,22.824,6616
0.541,22.704,6642
0.556,22.593,6666
0.571,22.403,6707
0.586,22.13,6766
0.601,21.852,6827
0.615,21.323,6945
0.63,20.89,7043
0.645,20.212,7203
0.66,19.39,7358
0.675,18.468,7532
0.69,17.272,7733
0.705,15.874,7944
0.72,14.352,8211
0.735,12.702,8517
0.75,10.813,8972
0.764,8.302,9473
0.779,6.764,9621
0.794,5.645,9764
0.809,5.27,9843
0.824,5.038,9892
0.839,4.839,9927
0.854,4.845,9926
0.869,4.851,9925
0.884,4.857,9924
0.899,4.863,9923
0.913,4.845,9926
0.928,4.827,9929
0.943,4.839,9927
0.958,4.738,9944
0.973,4.631,9962
0.988,4.476,9988
1.003,4.333,10012
1.017,4.232,10029
1.032,4.131,10046
1.047,3.957,10074
1.062,3.827,10092
1.077,3.669,10114
1.092,3.583,10126
1.107,3.432,10147
1.122,3.223,10176
1.137,3.079,10196
1.152,2.974,10211
1.166,2.877,10226
1.181,2.721,10250
1.196,2.565,10274
1.211,2.442,10293
1.226,2.312,10313
1.241,2.201,10330
1.256,2.084,10348
1.271,1.976,10364
1.285,1.835,10382
1.3,1.693,10400
1.315,1.528,10421
1.33,1.402,10437
1.345,1.252,10456
1.36,1.157,10468
1.375,1.047,10482
1.39,0.892,10505
1.404,0.816,10517
1.419,0.709,10534
1.434,0.652,10543
1.449,0.525,10563
1.464,0.437,10577
1.479,0.329,10594
1.494,0.266,10604
1.509,0.146,10623
1.523,0.076,10634
1.538,0.032,10641
1.553,0.013,10644
1.568,0.0,10649
1.583,0.0,10647
1.598,0.006,10645
1.613,0.0,10647
1.628,0.032,10641
1.643,0.006,10645
1.658,0.0,10646
1.672,0.0,10648
1.687,0.0,10646
0.002,0.025,10642
0.017,0.0,10649
0.031,0.101,10630
0.046,0.234,10609
0.061,0.335,10593
0.076,0.544,10560
0.091,0.981,10491
0.106,1.551,10418
0.121,2.097,10346
0.136,2.87,10227
0.151,3.647,10117
0.165,4.536,9978
0.18,5.422,9811
0.195,6.573,9638
0.21,7.946,9513
0.225,9.567,9277
0.24,11.296,8851
0.255,13.563,8349
0.27,15.343,8037
0.284,17.558,7691
0.299,19.779,7291
0.314,20.521,7130
0.329,21.471,6912
0.344,22.352,6718
0.359,22.389,6710
0.374,22.764,6629
0.388,22.88,6604
0.403,22.88,6604
0.418,22.884,6603
0.433,22.88,6604
0.448,22.917,6596
0.463,22.912,6597
0.478,22.87,6606
0.492,22.87,6606
0.507,22.875,6605
0.522,22.87,6606
0.537,22.722,6638
0.552,22.657,6652
0.567,22.417,6704
0.582,22.199,6751
0.597,21.96,6803
0.611,21.48,6910
0.626,20.958,7027
0.641,20.453,7146
0.657,19.68,7308
0.671,18.771,7471
0.686,17.619,7682
0.701,16.376,7866
0.716,14.864,8121
0.731,13.282,8398
0.746,11.183,8878
0.761,8.767,9419
0.776,7.326,9570
0.79,5.839,9723
0.805,5.289,9839
0.82,5.066,9886
0.835,4.863,9923
0.85,4.857,9924
0.865,4.881,9920
0.88,4.857,9924
0.894,4.863,9923
0.909,4.875,9921
0.925,4.857,9924
0.939,4.863,9923
0.954,4.804,9933
0.969,4.667,9956
0.984,4.542,9977
0.999,4.411,9999
1.014,4.274,10022
1.029,4.131,10046
1.043,4.018,10065
1.058,3.878,10085
1.073,3.77,10100
1.088,3.59,10125
1.103,3.403,10151
1.118,3.273,10169
1.133,3.108,10192
1.148,3.0,10207
1.163,2.87,10227
1.177,2.786,10240
1.192,2.623,10265
1.207,2.461,10290
1.222,2.37,10304
1.237,2.227,10326
1.252,2.117,10343
1.267,2.026,10357
1.282,1.874,10377
1.296,1.748,10393
1.311,1.598,10412
1.326,1.48,10427
1.341,1.307,10449
1.356,1.181,10465
1.371,1.079,10478
1.386,0.943,10497
1.401,0.842,10513
1.416,0.734,10530
1.431,0.652,10543
1.445,0.576,10555
1.46,0.538,10561
1.475,0.424,10579
1.49,0.291,10600
1.505,0.259,10605
1.52,0.082,10633
1.535,0.038,10640
1.549,0.032,10641
1.564,0.0,10647
1.579,0.0,10647
1.594,0.051,10638
1.609,0.0,10648
1.624,0.0,10647
1.639,0.013,10644
1.654,0.0,10647
1.669,0.0,10647
1.684,0.0,10648
0.013,0.0,10647
0.028,0.063,10636
0.043,0.222,10611
0.058,0.38,10586
0.073,0.519,10564
0.087,0.88,10507
0.102,1.496,10425
0.117,2.006,10360
0.132,2.682,10256
0.147,3.439,10146
0.162,4.304,10017
0.177,5.313,9834
0.191,6.303,9662
0.206,7.446,9559
0.221,9.463,9298
0.236,11.075,8904
0.251,12.834,8486
0.266,14.932,8109
0.281,17.082,7761
0.296,19.233,7385
0.311,20.381,7163
0.326,21.336,6942
0.34,22.204,6750
0.355,22.384,6711
0.37,22.708,6641
0.385,22.847,6611
0.4,22.898,6600
0.415,22.894,6601
0.43,22.889,6602
0.444,22.898,6600
0.459,22.884,6603
0.474,22.889,6602
0.489,22.894,6601
0.504,22.889,6602
0.519,22.884,6603
0.534,22.773,6627
0.549,22.681,6647
0.563,22.491,6688
0.578,22.259,6738
0.593,22.023,6789
0.608,21.583,6887
0.623,21.139,6986
0.638,20.559,7121
0.653,19.89,7272
0.668,18.97,7431
0.683,17.898,7641
0.698,16.732,7813
0.713,15.206,8061
0.727,13.644,8335
0.742,11.633,8770
0.757,9.483,9294
0.772,7.815,9525
0.787,6.472,9647
0.802,5.284,9840
0.817,5.118,9875
0.832,4.893,9918
0.847,4.851,9925
0.861,4.899,9917
0.876,4.869,9922
0.891,4.857,9924
0.906,4.875,9921
0.921,4.893,9918
0.936,4.875,9921
0.951,4.792,9935
0.965,4.667,9956
0.98,4.577,9971
0.995,4.458,9991
1.01,4.268,10023
1.025,4.137,10045
1.04,4.03,10063
1.055,3.935,10077
1.07,3.806,10095
1.085,3.633,10119
1.099,3.446,10145
1.114,3.331,10161
1.129,3.151,10186
1.144,2.994,10208
1.159,2.929,10218
1.174,2.838,10232
