frame,mm
1,0
2,0.2
3,0.8
4,1.4
5,3.6
6,5.5
7,10.5
8,17
9,20.2
10,22
11,22.6
12,22.6
13,22.6
14,22.6
15,22.4
16,22
17,21
18,19.5
19,16.2
20,12.8
21,8
22,5.8
23,5.1
24,5
25,5
26,4.9
27,4.7
28,4.4
29,4.1
30,4
31,3
32,2.8
33,2.6
34,2.3
35,2
36,1.7
37,1.4
38,1
39,0.8
40,0.5
41,0.4
42,0.1
43,0
44,0
45,0
46,0
47,0
