time_s,position_mm,raw_value
0.004,22.225,6701
0.029,22.225,6694
0.054,22.225,6694
0.078,22.225,6692
0.103,22.225,6694
0.128,22.225,6712
0.153,22.225,6769
0.177,21.58,6857
0.202,20.856,7003
0.227,19.696,7213
0.252,18.288,7479
0.277,16.434,7797
0.302,14.151,8155
0.326,10.861,8810
0.351,7.493,9533
0.376,5.528,9766
0.401,4.734,9900
0.426,4.409,9956
0.451,4.397,9958
0.475,4.409,9956
0.5,4.36,9964
0.525,4.354,9965
0.55,4.221,9987
0.575,3.979,10027
0.6,3.708,10071
0.624,3.505,10103
0.649,3.315,10133
0.674,3.034,10175
0.699,2.829,10204
0.724,2.589,10238
0.748,2.385,10267
0.773,2.053,10314
0.798,1.868,10340
0.823,1.651,10369
0.848,1.39,10404
0.872,1.135,10436
0.897,0.872,10467
0.922,0.643,10494
0.947,0.429,10521
0.972,0.214,10548
0.996,0.0,10577
1.021,0.0,10596
1.046,0.0,10629
1.071,0.0,10645
1.095,0.0,10671
1.12,0.0,10690
1.145,0.0,10705
1.169,0.0,10720
1.194,22.225,1203
1.219,22.225,1201
1.244,22.225,1202
1.268,22.225,1202
1.293,22.225,1202
1.318,22.225,1202
1.343,22.225,1202
1.368,22.225,1202
1.393,22.225,1203
1.417,22.225,1202
1.442,22.225,1202
1.467,22.225,1203
1.492,22.225,1202
1.517,22.225,1202
1.541,22.225,1202
1.566,22.225,1202
1.591,22.225,1202
1.616,22.225,1202
1.641,22.225,1202
1.665,22.225,1202
1.69,22.225,1201
1.715,22.225,1202
1.74,22.225,1202
1.765,22.225,1202
1.789,22.225,1202
1.814,22.225,1202
1.839,22.225,1201
1.864,22.225,1201
1.889,22.225,1201
1.914,22.225,1202
1.938,22.225,1202
1.963,22.225,1202
1.988,22.225,1202
2.013,22.225,1202
2.038,22.225,1202
2.062,22.225,1202
2.087,22.225,1201
2.112,22.225,1201
2.137,22.225,1202
2.162,22.225,1201
2.186,22.225,1203
2.211,22.225,1202
2.236,22.225,1201
2.261,22.225,1202
2.286,22.225,1202
2.31,22.225,1201
2.335,22.225,1202
2.36,22.225,1202
2.385,22.225,1202
2.41,22.225,1202
2.434,22.225,1202
2.459,22.225,1202
2.484,22.225,1202
2.509,22.225,1202
2.534,22.225,1202
2.559,22.225,1202
2.583,22.225,1202
2.608,22.225,1202
2.633,22.225,1202
2.658,22.225,1201
2.683,22.225,1202
2.707,22.225,1202
2.732,22.225,1202
2.757,22.225,1201
2.782,22.225,1202
2.807,22.225,1202
2.831,22.225,1202
2.856,22.225,1202
2.881,22.225,1202
2.906,22.225,1202
2.931,22.225,1202
2.956,22.225,1201
2.98,22.225,1202
3.005,22.225,1202
3.03,22.225,1202
3.055,22.225,1202
3.08,22.225,1202
3.104,22.225,1202
3.129,22.225,1202
3.154,22.225,1201
3.179,22.225,1202
3.204,22.225,1202
3.229,22.225,1202
3.253,22.225,1200
3.278,22.225,1201
3.303,22.225,1202
3.328,22.225,1201
3.352,22.225,1202
3.377,22.225,1202
3.402,22.225,1202
3.427,22.225,1201
3.452,22.225,1203
3.476,22.225,1202
3.501,22.225,1202
3.526,0.0,10704
3.551,0.0,10663
3.576,0.0,10597
3.6,0.579,10502
3.625,1.681,10365
3.65,3.194,10152
3.675,4.861,9878
3.699,6.624,9622
3.724,9.124,9246
3.749,12.529,8434
3.774,15.815,7894
3.799,19.345,7290
3.823,20.955,6985
3.848,22.225,6776
3.873,22.225,6731
3.898,22.225,6722
3.923,22.225,6702
3.948,22.225,6691
3.972,22.225,6694
3.997,22.225,6692
4.022,22.225,6706
4.047,22.225,6737
4.072,22.183,6813
4.098,21.297,6915
4.123,20.359,7093
4.148,19.132,7337
4.173,17.468,7629
4.198,15.608,7925
4.223,12.81,8376
4.247,9.694,9105
4.272,6.858,9598
4.297,4.814,9886
4.322,4.445,9950
4.348,4.336,9968
4.373,4.288,9976
4.397,4.312,9972
4.422,4.3,9974
4.447,4.203,9990
4.472,4.016,10021
4.497,3.816,10054
4.522,3.524,10100
4.546,3.327,10131
4.571,3.111,10164
4.596,2.829,10204
4.622,2.653,10229
4.646,2.413,10263
4.671,2.173,10297
4.696,1.905,10335
4.721,1.666,10367
4.746,1.457,10395
4.77,1.202,10428
4.795,0.914,10462
4.82,0.72,10485
