time_s,position_mm,raw_value
0.886,6.872,9776
0.9,6.862,9778
0.914,6.837,9783
0.929,6.842,9782
0.944,6.828,9785
0.958,6.709,9809
0.972,6.626,9826
0.986,6.527,9846
1.0,6.429,9866
1.015,6.315,9889
1.029,6.202,9912
1.043,6.108,9931
1.058,6.03,9947
1.073,5.836,9971
1.087,5.673,9989
1.101,5.5,10008
1.115,5.327,10027
1.129,5.145,10047
1.143,4.932,10074
1.157,4.877,10083
1.171,4.691,10113
1.185,4.623,10124
1.199,4.506,10143
1.213,4.414,10158
1.227,4.222,10189
1.242,4.16,10199
1.256,4.068,10214
1.269,3.882,10242
1.284,3.799,10254
1.298,3.667,10273
1.312,3.556,10289
1.326,3.375,10315
1.34,3.312,10324
1.355,3.16,10346
1.369,3.049,10362
1.383,2.939,10376
1.397,2.772,10395
1.411,2.64,10410
1.425,2.509,10425
1.439,2.404,10437
1.453,2.14,10467
1.467,2.035,10479
1.481,1.981,10485
1.495,1.811,10503
1.509,1.651,10520
1.523,1.547,10531
1.537,1.434,10543
1.55,1.33,10554
1.564,1.16,10572
1.578,1.028,10586
1.592,0.882,10597
1.606,0.706,10609
1.62,0.662,10612
1.634,0.25,10640
1.648,0.279,10638
1.662,0.176,10645
1.676,0.471,10625
1.69,0.206,10643
1.704,0.088,10651
1.718,0.147,10647
1.733,0.221,10642
1.747,0.088,10651
1.762,0.044,10654
1.777,0.279,10638
1.791,0.0,10662
1.806,0.0,10669
1.82,0.471,10625
1.834,0.647,10613
1.848,0.735,10607
1.863,0.735,10607
0.013,1.189,10569
0.028,1.481,10538
0.043,1.632,10522
0.058,1.915,10492
0.073,2.132,10468
0.088,2.711,10402
0.102,3.34,10320
0.117,3.896,10240
0.132,4.599,10128
0.147,5.418,10017
0.162,6.256,9901
0.177,7.133,9732
0.192,8.138,9602
0.207,9.213,9491
0.222,11.191,9156
0.236,12.405,8846
0.251,14.337,8432
0.266,16.449,8060
0.281,18.806,7691
0.296,21.103,7302
0.311,22.42,7079
0.326,23.413,6877
0.34,24.258,6693
0.355,24.333,6675
0.37,24.579,6616
0.385,24.842,6553
0.4,24.883,6543
0.415,24.908,6537
0.43,24.917,6535
0.445,24.917,6535
0.46,24.904,6538
0.474,24.908,6537
0.489,24.9,6539
0.504,24.904,6538
0.519,24.9,6539
0.534,24.8,6563
0.549,24.679,6592
0.564,24.458,6645
0.579,24.233,6699
0.594,24.029,6748
0.608,23.596,6839
0.623,23.591,6840
0.638,23.264,6908
0.653,21.716,7207
0.668,20.545,7403
0.683,19.348,7608
0.698,18.201,7778
0.713,16.966,7968
0.728,15.227,8259
0.742,13.027,8684
0.757,11.112,9176
0.772,9.156,9499
0.787,8.213,9595
0.802,7.237,9718
0.817,7.037,9745
0.832,6.808,9789
0.847,6.773,9796
0.862,6.793,9792
0.877,6.778,9795
0.891,6.793,9792
0.906,6.788,9793
0.921,6.808,9789
0.936,6.803,9790
0.951,6.704,9810
0.966,6.626,9826
0.981,6.463,9859
0.996,6.389,9874
1.011,6.276,9897
1.026,6.177,9917
1.04,6.074,9938
1.055,5.945,9959
1.07,5.782,9977
1.085,5.6,9997
1.1,5.364,10023
1.115,5.209,10040
1.13,5.027,10060
1.145,4.87,10084
1.16,4.765,10101
1.174,4.636,10122
1.189,4.475,10148
1.204,4.377,10164
1.219,4.272,10181
1.234,4.111,10207
1.249,3.993,10226
1.263,3.882,10242
1.279,3.743,10262
1.293,3.604,10282
1.308,3.514,10295
1.323,3.382,10314
1.338,3.201,10340
1.353,3.118,10352
1.368,2.947,10375
1.383,2.833,10388
1.397,2.605,10414
1.413,2.535,10422
1.427,2.404,10437
1.442,2.211,10459
1.457,2.088,10473
1.472,1.925,10491
1.487,1.764,10508
1.502,1.67,10518
1.517,1.547,10531
1.531,1.396,10547
1.547,1.274,10560
1.561,1.094,10579
1.576,1.019,10587
1.591,0.868,10598
1.606,0.647,10613
1.621,0.441,10627
1.636,0.279,10638
1.651,0.235,10641
1.666,1.009,10588
1.68,0.853,10599
1.695,0.779,10604
0.009,1.292,10558
0.024,1.547,10531
0.039,1.802,10504
0.054,2.061,10476
0.069,2.377,10440
0.084,2.798,10392
0.098,3.347,10319
0.113,3.896,10240
0.128,4.556,10135
0.143,5.418,10017
0.158,6.296,9893
0.173,7.104,9736
0.188,8.096,9606
0.203,9.142,9501
0.218,11.004,9203
0.232,12.174,8907
0.247,13.701,8558
0.262,16.399,8069
0.277,18.514,7733
0.292,20.642,7385
0.307,22.645,7034
0.322,23.399,6880
0.337,24.154,6718
0.351,24.579,6616
0.366,24.7,6587
0.381,24.979,6520
0.396,25.0,6496
0.411,25.0,6492
0.426,25.0,6492
0.441,25.0,6497
0.456,25.0,6503
0.47,25.0,6497
0.485,25.0,6497
