stroke_no,direction,time_s,position_mm,raw_value
1,UP,-0.0007,0.3041,10563
1,UP,0.004,0.731,10490
1,UP,0.0086,1.0063,10443
1,UP,0.0135,1.1938,10413
1,UP,0.0184,1.05,10436
1,UP,0.0234,0.7953,10479
1,UP,0.0284,0.4152,10544
1,UP,0.0334,0.614,10510
1,UP,0.0383,0.655,10503
1,UP,0.0432,0.4503,10538
1,UP,0.0472,0.4444,10539
1,UP,0.0522,0.4795,10533
1,UP,0.0571,0.4854,10532
1,UP,0.0622,0.4678,10535
1,UP,0.0671,0.4444,10539
1,UP,0.0722,0.4503,10538
1,UP,0.0769,0.4269,10542
1,UP,0.0821,0.4094,10545
1,UP,0.0868,0.4444,10539
1,UP,0.0919,0.4678,10535
1,UP,0.0967,0.4503,10538
1,UP,0.1009,0.4211,10543
2,DOWN,-0.0001,0.4444,10539
2,DOWN,0.0049,0.2398,10574
2,DOWN,0.0096,0.345,10556
2,DOWN,0.0147,0.2982,10564
2,DOWN,0.0198,0.2632,10570
2,DOWN,0.0246,0.3099,10562
2,DOWN,0.0297,0.2865,10566
2,DOWN,0.0347,0.2105,10579
2,DOWN,0.0394,0.2924,10565
2,DOWN,0.0433,0.3099,10562
2,DOWN,0.0475,0.269,10569
2,DOWN,0.0524,0.2807,10567
2,DOWN,0.0573,0.3041,10563
2,DOWN,0.0624,0.2865,10566
2,DOWN,0.0673,0.2865,10566
2,DOWN,0.0722,0.2807,10567
2,DOWN,0.0772,0.2456,10573
2,DOWN,0.0811,0.2398,10574
2,DOWN,0.0853,0.2982,10564
2,DOWN,0.0902,0.2398,10574
2,DOWN,0.0951,0.2515,10572
2,DOWN,0.1,0.2515,10572
3,UP,-0.001,0.3392,10557
3,UP,0.0029,0.6082,10511
3,UP,0.0072,0.8713,10466
3,UP,0.012,0.9474,10453
3,UP,0.0169,0.8713,10466
3,UP,0.0218,0.655,10503
3,UP,0.0257,0.4503,10538
3,UP,0.03,0.5673,10518
3,UP,0.0349,0.5906,10514
3,UP,0.0398,0.4678,10535
3,UP,0.0447,0.5088,10528
3,UP,0.0496,0.5263,10525
3,UP,0.0535,0.4854,10532
3,UP,0.0578,0.4152,10544
3,UP,0.0627,0.462,10536
3,UP,0.0676,0.4561,10537
3,UP,0.0725,0.4795,10533
3,UP,0.0774,0.462,10536
3,UP,0.0813,0.3918,10548
3,UP,0.0855,0.462,10536
3,UP,0.0905,0.4094,10545
3,UP,0.0954,0.4737,10534
3,UP,0.1003,0.4854,10532
4,DOWN,-0.0008,0.4444,10539
4,DOWN,0.0034,0.2924,10565
4,DOWN,0.0083,0.2865,10566
