frame,mm
1,0
20,1
31,2
39,3
43,4
47,5
51,6
55,7
58,8
61,9
62,10
67,12
73,15
77,16
78,17
80,18
82,20
85,21
88,22
92,23
103,23.3
120,23.3
135,23.2
144,23
155,22
162,21
166,20
170,19
173,18
176,17
178,16
181,15
185,13
188,11
189,10
196,8
198,6.8
205,6
255,5
283,4
306,3
339,2
355,1
361,0
