time_s,position_mm,raw_value
0.005,0.07,10603
0.02,0.152,10589
0.035,0.327,10559
0.05,0.52,10526
0.064,0.708,10494
0.079,0.912,10459
0.094,1.456,10371
0.109,1.919,10297
0.124,2.507,10209
0.139,3.347,10086
0.154,4.211,9957
0.168,5.198,9790
0.183,6.045,9640
0.198,7.237,9534
0.213,8.943,9200
0.228,10.456,8868
0.243,11.975,8464
0.258,14.349,8067
0.273,16.132,7769
0.287,18.372,7380
0.302,20.153,7015
0.317,21.193,6830
0.332,22.183,6645
0.347,22.967,6478
0.362,22.991,6473
0.377,23.207,6426
0.392,23.355,6394
0.406,23.276,6411
0.421,23.295,6407
0.436,23.3,6406
0.451,23.3,6406
0.466,23.272,6412
0.481,23.267,6413
0.496,23.281,6410
0.511,23.272,6412
0.526,23.198,6428
0.541,23.041,6462
0.555,22.962,6479
0.57,22.667,6542
0.585,22.413,6596
0.6,22.164,6649
0.615,21.635,6750
0.63,21.072,6852
0.645,20.243,6999
0.66,19.529,7148
0.675,18.606,7338
0.69,17.516,7539
0.704,16.066,7779
0.72,14.596,8026
0.734,12.792,8324
0.749,10.856,8768
0.764,8.599,9296
0.779,7.892,9473
0.794,6.125,9633
0.809,5.797,9681
0.824,5.456,9743
0.839,5.269,9777
0.854,5.148,9799
0.868,5.187,9792
0.883,5.187,9792
0.898,5.176,9794
0.913,5.148,9799
0.928,5.148,9799
0.943,5.099,9808
0.958,5.022,9822
0.973,4.831,9854
0.988,4.771,9864
1.003,4.633,9887
1.017,4.434,9920
1.032,4.325,9938
1.047,4.181,9962
1.062,4.03,9987
1.077,3.958,9998
1.092,3.688,10037
1.107,3.562,10055
1.122,3.451,10071
1.136,3.278,10096
1.152,3.167,10112
1.166,3.014,10134
1.181,2.845,10159
1.196,2.764,10171
1.211,2.601,10195
1.226,2.493,10211
1.241,2.338,10234
1.256,2.122,10266
1.271,2.061,10275
1.285,1.9,10300
1.3,1.806,10315
1.315,1.681,10335
1.33,1.519,10361
1.345,1.438,10374
1.36,1.312,10394
1.375,1.212,10410
1.39,1.094,10429
1.405,0.959,10451
1.419,0.83,10473
1.434,0.737,10489
1.449,0.661,10502
1.464,0.567,10518
1.479,0.439,10540
1.494,0.409,10545
1.509,0.263,10570
1.524,0.193,10582
1.539,0.164,10587
1.554,0.018,10612
1.568,0.0,10632
1.583,0.0,10638
1.598,0.0,10650
1.613,0.0,10656
1.628,0.0,10663
1.643,0.0,10669
1.658,0.0,10615
1.673,0.0,10641
1.688,0.0,10662
