frame,mm
1,0
27,1
37,2
42,3
46,4
49,5
54,6
57,7
59,8
61,9
68,12
70,13
73,15
77,17
80,19
82,20
86,21
89,22
95,23
100,23.2
144,23
156,22
161,21
166,20
171,19
174,18
177,17
179,16
182,15
187,13
191,10
194,9
197,8
199,7
203,6
245,5
265,4
294,3
317,2
347,1
395,0
