cycle,time_s,position_mm,raw_value
1,-0.0327,0.4737,10534
1,-0.0278,0.6199,10509
1,-0.0229,0.7018,10495
1,-0.018,0.7368,10489
1,-0.0141,0.9123,10459
1,-0.0098,0.9708,10449
1,-0.0049,1.0188,10441
1,0.0,1.4937,10365
1,0.0054,1.7688,10321
1,0.0099,1.8562,10307
1,0.015,2.1216,10266
1,0.0199,2.4662,10215
1,0.0248,2.6622,10186
1,0.0287,2.8851,10153
1,0.0329,3.2778,10096
1,0.0379,3.6806,10038
1,0.0427,4.012,9990
1,0.0477,4.3193,9939
1,0.0527,4.6867,9878
1,0.0575,5.0,9826
1,0.0626,5.3242,9767
1,0.0675,5.6593,9706
1,0.0723,5.967,9650
1,0.0762,6.5,9600
1,0.0805,6.8977,9565
1,0.0854,7.3118,9527
1,0.0903,7.871,9475
1,0.0952,8.1792,9413
1,0.1001,8.5771,9302
1,0.1051,8.9319,9203
1,0.109,9.8911,9004
1,0.1132,10.728,8800
1,0.1181,11.2291,8669
1,0.123,11.6691,8548
1,0.1279,12.369,8395
1,0.1328,12.8333,8317
1,0.1367,13.4817,8210
1,0.1409,14.0723,8113
1,0.1458,14.512,8040
1,0.1507,14.7711,7997
1,0.1556,15.1882,7927
1,0.1595,15.4765,7878
1,0.1638,15.8059,7822
1,0.1687,16.0921,7775
1,0.1737,16.5724,7702
1,0.1784,16.8487,7660
1,0.1827,17.2526,7589
1,0.1874,17.5,7542
1,0.1913,17.6684,7510
1,0.1956,17.9,7466
1,0.2005,18.1556,7419
1,0.2054,18.4111,7373
1,0.2102,18.6556,7329
1,0.2145,18.9111,7283
1,0.2192,19.12,7240
1,0.2241,19.3156,7196
1,0.228,19.3956,7178
1,0.2332,19.4178,7173
1,0.2381,19.4978,7155
1,0.243,19.5156,7151
1,0.2469,19.6267,7126
1,0.2511,19.6444,7122
1,0.256,19.6578,7119
1,0.2608,19.6578,7119
1,0.2651,19.6444,7122
1,0.2699,19.4622,7163
1,0.2749,19.4,7177
1,0.2798,19.1778,7227
1,0.2847,19.0889,7247
1,0.2886,18.9778,7271
1,0.2928,18.8056,7302
1,0.2978,18.6167,7336
1,0.3026,18.4833,7360
1,0.3075,18.2889,7395
1,0.3114,18.1889,7413
1,0.3157,18.0222,7443
1,0.3206,17.8684,7472
1,0.3255,17.6947,7505
1,0.3304,17.5316,7536
1,0.3343,17.3842,7564
1,0.3385,17.2316,7593
1,0.3435,17.0368,7630
1,0.3484,16.8618,7658
1,0.3533,16.6579,7689
1,0.3582,16.5395,7707
1,0.3621,16.4013,7728
1,0.3663,16.2171,7756
1,0.3712,16.0658,7779
1,0.3762,15.8882,7808
1,0.3811,15.7706,7828
1,0.385,15.6588,7847
1,0.3892,15.5059,7873
1,0.3942,15.3529,7899
1,0.3991,15.1882,7927
1,0.404,15.0588,7949
1,0.4079,14.9277,7971
1,0.4121,14.7711,7997
1,0.417,14.6145,8023
1,0.4219,14.4639,8048
1,0.4269,14.3373,8069
1,0.4319,14.1566,8099
1,0.4368,14.0422,8118
1,0.4407,13.8537,8149
1,0.4458,13.7134,8172
1,0.4506,13.561,8197
1,0.4548,13.439,8217
1,0.4597,13.2439,8249
1,0.4646,13.0793,8276
1,0.4696,12.9405,8299
1,0.4748,12.7143,8337
1,0.4794,12.5952,8357
1,0.4837,12.4286,8385
1,0.4885,12.2798,8410
1,0.4935,12.0417,8450
1,0.4983,11.8727,8492
1,0.5032,11.7491,8526
1,0.5072,11.6509,8553
1,0.5114,11.5018,8594
1,0.5163,11.3418,8638
1,0.5212,11.2073,8675
1,0.5261,11.0873,8708
1,0.53,10.94,8747
1,0.5343,10.804,8781
1,0.5392,10.596,8833
1,0.5441,10.444,8871
1,0.549,10.324,8901
1,0.5529,10.192,8934
1,0.5571,10.0,8982
1,0.5621,9.8218,9018
1,0.567,9.5743,9068
1,0.5718,9.396,9104
1,0.5758,9.2574,9132
1,0.58,9.0495,9174
1,0.5849,8.8746,9219
1,0.59,8.7455,9255
1,0.5948,8.6237,9289
1,0.5988,8.4624,9334
1,0.6038,8.2975,9380
1,0.6088,8.1649,9417
1,0.6141,8.0,9463
1,0.6191,7.914,9471
1,0.6235,7.6667,9494
1,0.6278,7.6022,9500
1,0.6328,7.4086,9518
1,0.6375,7.129,9544
1,0.6426,7.0215,9554
1,0.6475,6.8068,9573
1,0.6524,6.7045,9582
1,0.6563,6.5,9600
1,0.6606,6.3068,9617
1,0.6655,6.1136,9634
1,0.6703,5.9725,9649
1,0.6742,5.9011,9662
1,0.6784,5.8022,9680
1,0.6833,5.6703,9704
1,0.6882,5.4945,9736
1,0.6931,5.3571,9761
1,0.697,5.2527,9780
1,0.7012,5.0934,9809
1,0.7061,4.9036,9842
1,0.711,4.7831,9862
1,0.7159,4.5964,9893
1,0.7198,4.506,9908
1,0.7241,4.2831,9945
1,0.729,4.1747,9963
1,0.7339,3.9514,9999
1,0.7388,3.8333,10016
1,0.7427,3.6667,10040
1,0.7469,3.4722,10068
1,0.7518,3.2986,10093
1,0.7567,3.0972,10122
1,0.7617,2.9662,10141
1,0.7656,2.8378,10160
1,0.7698,2.6419,10189
1,0.7747,2.5068,10209
1,0.7796,2.3446,10233
1,0.7846,2.1689,10259
1,0.7885,2.0608,10275
1,0.7928,1.8625,10306
1,0.7976,1.7437,10325
1,0.8027,1.5938,10349
1,0.8076,1.4062,10379
1,0.8125,1.2688,10401
1,0.8173,1.175,10416
1,0.8215,1.0688,10433
1,0.8263,0.9181,10458
1,0.8302,0.8129,10476
1,0.8344,0.6901,10497
1,0.8394,0.5789,10516
1,0.8443,0.462,10536
1,0.8492,0.3567,10554
1,0.8531,0.2924,10565
