cycle,time_s,position_mm,raw_value
1,0.8404,0.8772,10465
1,0.8443,0.8187,10475
1,0.8486,0.6842,10498
1,0.8534,0.5205,10526
1,0.8584,0.4444,10539
1,0.8633,0.3392,10557
1,0.8682,0.2339,10575
2,-0.0327,0.4912,10531
2,-0.0278,0.6023,10512
2,-0.0228,0.6784,10499
2,-0.0179,0.7602,10485
2,-0.013,0.8363,10472
2,-0.0091,0.883,10464
2,-0.0049,1.05,10436
2,0.0,1.1562,10419
2,0.0053,1.2125,10410
2,0.01,1.7312,10327
2,0.0148,2.1216,10266
2,0.0187,2.3311,10235
2,0.0238,2.4189,10222
2,0.0287,2.5608,10201
2,0.0326,2.8311,10161
2,0.0368,3.0833,10124
2,0.0417,3.5069,10063
2,0.0467,3.8472,10014
2,0.0515,4.1627,9965
2,0.0564,4.5361,9903
2,0.0613,4.7952,9860
2,0.0652,5.0604,9815
2,0.0695,5.3462,9763
2,0.0744,5.6813,9702
2,0.0793,5.967,9650
2,0.0842,6.6023,9591
2,0.0891,6.9659,9559
2,0.093,7.3226,9526
2,0.0969,7.6559,9495
2,0.1012,8.1183,9430
2,0.1061,8.4767,9330
2,0.111,8.8602,9223
2,0.1159,9.4802,9087
2,0.1198,10.336,8898
2,0.1238,10.876,8763
2,0.128,11.3018,8649
2,0.133,11.8255,8505
2,0.1377,12.4405,8383
2,0.1416,12.9464,8298
2,0.1455,13.5122,8205
2,0.1498,14.0663,8114
2,0.1547,14.5542,8033
2,0.1595,14.8253,7988
2,0.1634,15.1235,7938
2,0.1676,15.4647,7880
2,0.1726,15.8059,7822
2,0.1773,16.0921,7775
2,0.1812,16.4145,7726
2,0.1855,16.8092,7666
2,0.1904,17.1684,7605
2,0.1953,17.5526,7532
2,0.2002,17.7947,7486
2,0.2051,17.9842,7450
2,0.209,18.1722,7416
2,0.2133,18.45,7366
2,0.2182,18.7222,7317
2,0.2231,18.9944,7268
2,0.2279,19.2267,7216
2,0.233,19.4489,7166
2,0.2379,19.48,7159
2,0.2428,19.5378,7146
2,0.2477,19.6089,7130
2,0.2516,19.6889,7112
2,0.2558,19.7467,7099
2,0.2607,19.7956,7088
2,0.2657,19.8311,7080
2,0.2705,19.8222,7082
2,0.2754,19.7733,7093
2,0.2794,19.6978,7110
2,0.2836,19.4933,7156
2,0.2885,19.4133,7174
2,0.2934,19.2711,7206
2,0.2983,19.0978,7245
2,0.3022,19.0533,7255
2,0.3065,18.8611,7292
2,0.3114,18.6778,7325
2,0.3163,18.4944,7358
2,0.3212,18.3444,7385
2,0.3261,18.1556,7419
2,0.33,18.0333,7441
2,0.3343,17.8737,7471
2,0.3392,17.6947,7505
2,0.3441,17.5579,7531
2,0.349,17.4158,7558
2,0.3529,17.2842,7583
2,0.3572,17.0842,7621
2,0.3621,16.9474,7645
2,0.3669,16.7763,7671
2,0.3708,16.6316,7693
2,0.375,16.4737,7717
2,0.3798,16.3553,7735
2,0.3838,16.1513,7766
2,0.3889,16.0066,7788
2,0.3936,15.8882,7808
2,0.3979,15.7235,7836
2,0.4028,15.5941,7858
2,0.4077,15.4353,7885
2,0.4126,15.2706,7913
2,0.4175,15.1471,7934
2,0.4214,15.0294,7954
2,0.4257,14.8855,7978
2,0.4306,14.7349,8003
2,0.4354,14.5542,8033
2,0.4403,14.4036,8058
2,0.4452,14.2892,8077
2,0.4491,14.1506,8100
2,0.4534,14.0,8125
2,0.4583,13.8293,8153
2,0.4632,13.6768,8178
2,0.4681,13.4878,8209
2,0.473,13.372,8228
2,0.4769,13.2439,8249
2,0.4811,13.061,8279
2,0.4861,12.8929,8307
2,0.491,12.7321,8334
2,0.4959,12.6369,8350
2,0.4997,12.4821,8376
2,0.504,12.3452,8399
2,0.5089,12.0774,8444
2,0.5138,11.92,8479
2,0.5187,11.7855,8516
2,0.5226,11.6764,8546
2,0.5269,11.5127,8591
2,0.5318,11.3855,8626
2,0.5368,11.24,8666
2,0.5415,11.1018,8704
2,0.5458,10.964,8741
2,0.5507,10.788,8785
2,0.5556,10.632,8824
2,0.5606,10.456,8868
2,0.5656,10.284,8911
2,0.5706,10.124,8951
2,0.5755,9.9505,8992
2,0.5804,9.7327,9036
2,0.5853,9.5792,9067
2,0.5892,9.3861,9106
2,0.5935,9.2178,9140
2,0.5984,8.9928,9186
2,0.6033,8.8602,9223
2,0.6082,8.6846,9272
2,0.6131,8.5663,9305
2,0.617,8.4767,9330
2,0.6212,8.2975,9380
2,0.6261,8.1649,9417
2,0.6309,8.0323,9454
2,0.6352,7.9462,9468
2,0.64,7.7742,9484
2,0.6449,7.6022,9500
2,0.6498,7.4194,9517
2,0.6537,7.3118,9527
2,0.6576,7.1398,9543
2,0.6619,6.9659,9559
2,0.6668,6.8068,9573
2,0.6717,6.625,9589
2,0.6766,6.4432,9605
2,0.6805,6.2727,9620
2,0.6844,6.1591,9630
2,0.6887,5.9945,9645
2,0.6935,5.8736,9667
2,0.6985,5.7473,9690
2,0.7034,5.6044,9716
2,0.7073,5.467,9741
2,0.7115,5.3242,9767
2,0.7164,5.1538,9798
2,0.7213,5.0055,9825
2,0.7262,4.8675,9848
2,0.7301,4.7169,9873
2,0.7344,4.5482,9901
2,0.7393,4.4096,9924
2,0.7443,4.2108,9957
2,0.7491,4.0542,9983
2,0.7533,3.8958,10007
2,0.7582,3.7222,10032
2,0.7631,3.5,10064
2,0.768,3.375,10082
2,0.7719,3.2153,10105
2,0.7758,3.0694,10126
2,0.7801,2.8649,10156
2,0.7849,2.7838,10168
2,0.7888,2.6284,10191
2,0.793,2.4324,10220
2,0.7979,2.2568,10246
2,0.8028,2.1216,10266
2,0.8077,1.9688,10289
2,0.8116,1.8438,10309
2,0.8155,1.7437,10325
2,0.8198,1.6125,10346
2,0.8246,1.4625,10370
2,0.8297,1.3313,10391
2,0.8346,1.2,10412
2,0.8395,1.0625,10434
2,0.8443,0.9649,10450
2,0.8483,0.8538,10469
2,0.8525,0.7602,10485
2,0.8574,0.6199,10509
2,0.8623,0.5088,10528
2,0.8672,0.4211,10543
2,0.8721,0.3041,10563
2,0.8761,0.2632,10570
3,-0.0317,0.5088,10528
3,-0.0268,0.6374,10506
3,-0.0219,0.7076,10494
3,-0.017,0.7719,10483
3,-0.0131,0.8304,10473
3,-0.0092,0.9006,10461
3,-0.0049,1.0125,10442
3,0.0,1.1375,10422
3,0.0052,1.2312,10407
3,0.01,1.4125,10378
3,0.0148,1.6812,10335
3,0.019,2.0473,10277
3,0.0239,2.223,10251
3,0.0288,2.4797,10213
3,0.0336,2.7703,10170
3,0.0375,2.9932,10137
3,0.0418,3.3194,10090
3,0.0465,3.5833,10052
3,0.0504,3.9236,10003
3,0.0547,4.2651,9948
3,0.0597,4.5904,9894
3,0.0643,4.8735,9847
3,0.0682,5.0824,9811
3,0.0725,5.4011,9753
3,0.0774,5.7198,9695
3,0.0823,5.9725,9649
3,0.0872,6.5795,9593
3,0.0921,7.0753,9549
3,0.097,7.4086,9518
3,0.1009,7.7634,9485
3,0.1052,8.1971,9408
3,0.1101,8.5663,9305
3,0.115,8.9677,9193
3,0.1199,9.8663,9009
3,0.1248,10.776,8788
3,0.1297,11.2764,8656
3,0.1336,11.6218,8561
3,0.1378,12.1667,8429
3,0.1427,12.7976,8323
3,0.1477,13.4695,8212
3,0.1525,14.0843,8111
3,0.1575,14.488,8044
3,0.1613,14.8253,7988
3,0.1657,15.2412,7918
3,0.1706,15.6059,7856
3,0.1756,15.7824,7826
3,0.1803,16.0658,7779
3,0.1842,16.4211,7725
3,0.1884,16.8553,7659
3,0.1933,17.1474,7609
3,0.1982,17.5684,7529
3,0.2032,17.8579,7474
3,0.2081,18.0056,7446
3,0.212,18.2111,7409
3,0.2162,18.4944,7358
