frame,mm
1,0
26,1
35,2
40,3
44,4
49,5
53,6
56,7
59,8
64,10
66,11
72,14
77,17
79,18
81,19.5
83,20.5
85,21
89,22.2
93,23
100,23.5
110,23.63
114,23.63
141,23.4
145,23.2
155,22.2
164,21
169,20
172,19
176,17.9
181,15.8
183,15
185,14
187,13
190,12
191,11
193,9.5
194,9
196,8
201,7
205,6
208,5.5
250,5
276,4
303,3
332,2
361,1
405,0
