cycle,time_s,position_mm,read_count,raw_rate_hz
1,-0.0083,0.0,2,200.0
1,0.0017,0.0,2,200.0
1,0.0117,0.0062,2,200.0
1,0.0217,0.0261,2,200.0
1,0.0317,0.077,2,200.0
1,0.0417,0.1391,2,200.0
1,0.0517,0.2497,3,300.0
1,0.0617,0.3466,2,200.0
1,0.0717,0.4621,2,200.0
1,0.0817,0.5752,2,200.0
1,0.0917,0.6969,2,200.0
1,0.1017,0.9058,3,300.0
1,0.1117,1.0829,2,200.0
1,0.1217,1.3403,2,200.0
1,0.1317,1.6556,2,200.0
1,0.1417,1.9602,2,200.0
1,0.1517,2.331,2,200.0
1,0.1617,2.9838,3,300.0
1,0.1717,3.4414,2,200.0
1,0.1817,3.8981,2,200.0
1,0.1917,4.357,2,200.0
1,0.2017,4.88,2,200.0
1,0.2118,5.8333,3,300.0
1,0.2217,6.4881,2,200.0
1,0.2317,7.1713,2,200.0
1,0.2417,7.9474,2,200.0
1,0.2517,8.8982,2,200.0
1,0.2617,9.8984,2,200.0
1,0.2717,11.3246,3,300.0
1,0.2817,12.3507,2,200.0
1,0.2917,13.6347,2,200.0
1,0.3017,14.9913,2,200.0
1,0.3117,16.1872,2,200.0
1,0.3217,17.3912,2,200.0
1,0.3317,19.3378,3,300.0
1,0.3417,20.4439,2,200.0
1,0.3517,21.1865,2,200.0
1,0.3617,21.7003,2,200.0
1,0.3717,22.2294,2,200.0
1,0.3817,23.0715,3,300.0
1,0.3917,23.3375,2,200.0
1,0.4017,23.3739,2,200.0
1,0.4117,23.4523,2,200.0
1,0.4217,23.5898,2,200.0
1,0.4317,23.6557,3,300.0
1,0.4417,23.6489,2,200.0
1,0.4517,23.6511,2,200.0
1,0.4617,23.6477,2,200.0
1,0.4717,23.6443,2,200.0
1,0.4817,23.6352,2,200.0
1,0.4917,23.6341,3,300.0
1,0.5017,23.6386,2,200.0
1,0.5117,23.6443,2,200.0
1,0.5217,23.6489,2,200.0
1,0.5317,23.6432,2,200.0
1,0.5417,23.6295,3,300.0
1,0.5517,23.6102,2,200.0
1,0.5617,23.5455,2,200.0
1,0.5717,23.4568,2,200.0
1,0.5817,23.3795,2,200.0
1,0.5917,23.2273,3,300.0
1,0.6017,23.0723,2,200.0
1,0.6117,22.8944,2,200.0
1,0.6217,22.7006,2,200.0
1,0.6317,22.5052,2,200.0
1,0.6417,22.1519,3,300.0
1,0.6517,21.864,2,200.0
1,0.6617,21.5793,2,200.0
1,0.6717,21.2749,2,200.0
1,0.6817,20.8655,2,200.0
1,0.6917,20.3706,2,200.0
1,0.7017,19.5754,3,300.0
1,0.7117,18.9884,2,200.0
