frame,mm
1,0
32,0.8
39,1.8
45,2.9
49,3.9
53,5
57,6
60,7
64,8.5
65,9
70,10.9
72,12
75,14
77,15
80,17
82,18.1
84,19.2
90,21.2
94,22.2
100,22.55
102,22.8
104,22.9
142,22.8
150,22.2
153,22
162,21
167,20
172,19
175,18
178,17.1
184,14.9
186,14
188,13.1
193,10.5
195,8.7
197,8
203,6.9
206,5.5
211,5.1
220,5
266,4
289,3
316,2
331,1
374,0
