frame,mm
1,0
14,1
18,2
22,3
24,4
26,5
28,6
29,7
32,9
33,10
35,12
36,13
37,14.5
38,15.5
39,16.5
40,17.5
41,19
42,20
43,21
46,22
49,23
54,23.8
75,23
79,22
82,21
85,20
87,19
89,18
90,17
92,15
95,12
96,11
98,9
100,8
101,7
103,6
125,5
138,4
153,3
166,2
178,1
182,0
