time_s,position_mm,raw_value
0.068,0.957,10506
0.083,1.433,10448
0.098,2,10380
0.113,2.429,10314
0.128,3.082,10213
0.143,3.905,10083
0.157,4.878,9946
0.172,5.865,9775
0.187,6.938,9631
0.202,8.044,9514
0.217,9.792,9159
0.231,11.241,8788
0.246,12.863,8410
0.262,15.054,8045
0.276,17.005,7710
0.291,19.134,7318
0.306,20.839,6994
0.321,21.8,6824
0.336,22.808,6633
0.351,23.226,6552
0.365,23.503,6498
0.38,23.759,6448
0.395,23.8,6440
0.41,23.749,6450
0.425,23.79,6442
0.44,23.779,6444
0.455,23.785,6443
0.47,23.749,6450
0.484,23.738,6452
0.499,23.764,6447
0.515,23.769,6446
0.529,23.641,6471
0.544,23.528,6493
0.559,23.318,6534
0.574,23.046,6587
0.589,22.762,6642
0.604,22.425,6707
0.619,21.88,6810
0.634,21.269,6917
0.648,20.441,7068
0.663,19.572,7233
0.678,18.582,7420
0.693,17.443,7629
0.708,16.044,7863
0.723,14.578,8120
0.738,12.665,8449
0.753,10.49,8985
0.768,8.189,9488
0.783,8.039,9515
0.798,6.328,9709
0.812,6.086,9740
0.827,5.702,9804
0.842,5.629,9817
0.857,5.607,9821
0.872,5.551,9831
0.887,5.573,9827
0.902,5.573,9827
0.917,5.556,9830
0.931,5.59,9824
0.947,5.517,9837
0.961,5.376,9862
0.976,5.264,9882
0.991,5.174,9898
1.006,5.006,9928
1.021,4.885,9945
1.036,4.705,9970
1.051,4.504,9998
1.066,4.288,10028
1.08,4.173,10044
1.095,3.981,10071
1.11,3.816,10097
1.125,3.69,10117
1.14,3.557,10138
1.155,3.411,10161
1.17,3.304,10178
1.185,3.222,10191
1.2,3.07,10215
1.215,2.929,10237
1.229,2.812,10255
1.244,2.721,10269
1.259,2.519,10300
1.274,2.481,10306
1.289,2.292,10335
1.304,2.149,10357
1.319,2.019,10377
1.334,1.95,10386
1.348,1.8,10404
1.364,1.608,10427
1.378,1.5,10440
1.393,1.367,10456
1.408,1.225,10473
1.423,1.075,10491
1.438,0.9,10514
1.453,0.793,10529
1.468,0.7,10542
1.483,0.536,10565
1.497,0.436,10579
1.512,0.357,10590
1.527,0.207,10611
1.542,0.171,10616
1.557,0,10640
1.572,0.014,10638
1.587,0.064,10631
1.602,0.05,10633
1.617,0.064,10631
1.632,0.071,10630
1.646,0.021,10637
1.661,0.093,10627
1.676,0.007,10639
1.691,0.007,10639
