frame,mm
1,0
31,1
40,2.3
44,3
49,4
52,5
56,6
59,7
62,8.2
64,9
67,10.4
69,11.3
71,12
72,12.8
73,13.6
74,14.5
76,15
78,16.5
81,18
83,19
85,20
89,21.3
92,21.9
94,22.2
95,22.4
98,22.75
100,22.788
110,22.783
150,22.4
153,22
163,21
166,20
171,19
174,18
178,17
180,16.4
183,15.2
185,13.8
187,13.2
188,12.7
189,12
190,11.3
191,10.9
194,9.1
196,7.8
202,6.9
203,6.2
213,5
270,4
292,3
305,2
328,1
355,0
