stroke_no,direction,time_s,position_mm,raw_value
1,UP,-0.0014,0.5029,10529
1,UP,0.0041,1.1,10428
1,UP,0.0085,1.6125,10346
1,UP,0.0134,1.8313,10311
1,UP,0.0173,1.9625,10290
1,UP,0.0212,1.9312,10295
1,UP,0.0254,1.6375,10342
1,UP,0.0304,1.2375,10406
1,UP,0.0353,0.7485,10487
1,UP,0.0404,0.7427,10488
1,UP,0.0453,0.8713,10466
1,UP,0.0502,0.7602,10485
1,UP,0.0552,0.6316,10507
1,UP,0.0603,0.614,10510
1,UP,0.0651,0.6491,10504
1,UP,0.0702,0.6257,10508
1,UP,0.075,0.6608,10502
1,UP,0.0789,0.6023,10512
1,UP,0.084,0.5965,10513
1,UP,0.089,0.6082,10511
1,UP,0.0941,0.6023,10512
1,UP,0.0989,0.6023,10512
2,DOWN,-0.0019,0.5965,10513
2,DOWN,0.0029,0.4503,10538
2,DOWN,0.008,0.4035,10546
2,DOWN,0.0128,0.5088,10528
2,DOWN,0.0167,0.4211,10543
2,DOWN,0.0218,0.4035,10546
2,DOWN,0.0266,0.4503,10538
2,DOWN,0.0317,0.4035,10546
2,DOWN,0.0368,0.4386,10540
2,DOWN,0.0416,0.4211,10543
2,DOWN,0.0467,0.4211,10543
2,DOWN,0.0516,0.345,10556
2,DOWN,0.0565,0.3567,10554
2,DOWN,0.0614,0.4211,10543
2,DOWN,0.0664,0.3684,10552
2,DOWN,0.0702,0.4094,10545
2,DOWN,0.0745,0.4211,10543
2,DOWN,0.0794,0.4327,10541
2,DOWN,0.0843,0.4211,10543
2,DOWN,0.0892,0.3509,10555
2,DOWN,0.0931,0.3626,10553
2,DOWN,0.0973,0.4444,10539
3,UP,-0.0038,0.3684,10552
3,UP,0.0012,0.7427,10488
3,UP,0.0063,1.3313,10391
3,UP,0.0112,1.5875,10350
3,UP,0.0161,1.7437,10325
3,UP,0.021,1.6812,10335
3,UP,0.0259,1.4438,10373
3,UP,0.0298,1.1125,10426
3,UP,0.0341,0.6257,10508
3,UP,0.0389,0.6433,10505
3,UP,0.0438,0.6959,10496
3,UP,0.0488,0.655,10503
3,UP,0.0527,0.6959,10496
3,UP,0.0566,0.6433,10505
3,UP,0.0609,0.6082,10511
3,UP,0.0657,0.6433,10505
3,UP,0.0706,0.6608,10502
3,UP,0.0756,0.6257,10508
3,UP,0.0795,0.6023,10512
3,UP,0.0837,0.5789,10516
3,UP,0.0886,0.6491,10504
3,UP,0.0935,0.6199,10509
3,UP,0.0984,0.6491,10504
4,DOWN,-0.0017,0.5848,10515
4,DOWN,0.0023,0.5088,10528
4,DOWN,0.0065,0.3567,10554
4,DOWN,0.0114,0.5673,10518
4,DOWN,0.0163,0.4854,10532
4,DOWN,0.0212,0.4152,10544
4,DOWN,0.0251,0.4386,10540
4,DOWN,0.0293,0.4971,10530
4,DOWN,0.0342,0.3567,10554
4,DOWN,0.0392,0.4211,10543
4,DOWN,0.0441,0.4035,10546
4,DOWN,0.049,0.4035,10546
4,DOWN,0.0529,0.3977,10547
4,DOWN,0.0571,0.386,10549
4,DOWN,0.062,0.3801,10550
4,DOWN,0.0669,0.3801,10550
4,DOWN,0.0718,0.3801,10550
4,DOWN,0.0768,0.3977,10547
4,DOWN,0.0807,0.3918,10548
4,DOWN,0.0849,0.3743,10551
4,DOWN,0.0898,0.386,10549
4,DOWN,0.0947,0.3918,10548
4,DOWN,0.0996,0.3626,10553
4,DOWN,0.1036,0.3743,10551
4,DOWN,0.1075,0.4327,10541
4,DOWN,0.1126,0.3684,10552
4,DOWN,0.1175,0.386,10549
4,DOWN,0.1214,0.3918,10548
4,DOWN,0.1256,0.3801,10550
4,DOWN,0.1305,0.3743,10551
4,DOWN,0.1355,0.3684,10552
4,DOWN,0.1402,0.386,10549
4,DOWN,0.1445,0.3801,10550
4,DOWN,0.1494,0.3977,10547
4,DOWN,0.1543,0.3977,10547
4,DOWN,0.1592,0.4035,10546
4,DOWN,0.1631,0.3684,10552
4,DOWN,0.1673,0.3684,10552
4,DOWN,0.1722,0.3918,10548
4,DOWN,0.1771,0.3743,10551
4,DOWN,0.182,0.386,10549
4,DOWN,0.1859,0.3801,10550
4,DOWN,0.1898,0.386,10549
4,DOWN,0.1941,0.386,10549
4,DOWN,0.199,0.386,10549
4,DOWN,0.2039,0.3977,10547
4,DOWN,0.2088,0.3918,10548
4,DOWN,0.2127,0.3977,10547
4,DOWN,0.2169,0.386,10549
4,DOWN,0.2219,0.3918,10548
4,DOWN,0.2268,0.3918,10548
4,DOWN,0.2317,0.3977,10547
4,DOWN,0.2356,0.3977,10547
4,DOWN,0.2398,0.4035,10546
4,DOWN,0.2447,0.3918,10548
4,DOWN,0.2496,0.386,10549
4,DOWN,0.2545,0.386,10549
4,DOWN,0.2595,0.3743,10551
4,DOWN,0.2634,0.386,10549
4,DOWN,0.2676,0.3918,10548
4,DOWN,0.2725,0.4094,10545
4,DOWN,0.2774,0.4035,10546
4,DOWN,0.2823,0.3918,10548
4,DOWN,0.2862,0.3977,10547
4,DOWN,0.2904,0.3743,10551
4,DOWN,0.2953,0.386,10549
4,DOWN,0.3002,0.386,10549
4,DOWN,0.3051,0.386,10549
4,DOWN,0.31,0.4152,10544
4,DOWN,0.3139,0.4152,10544
4,DOWN,0.3182,0.4035,10546
4,DOWN,0.3231,0.3977,10547
4,DOWN,0.328,0.4035,10546
4,DOWN,0.3329,0.3918,10548
4,DOWN,0.3368,0.3977,10547
4,DOWN,0.3407,0.3918,10548
4,DOWN,0.345,0.3918,10548
4,DOWN,0.3499,0.3918,10548
4,DOWN,0.3548,0.3918,10548
4,DOWN,0.3598,0.386,10549
4,DOWN,0.3648,0.386,10549
4,DOWN,0.3697,0.3743,10551
4,DOWN,0.3747,0.3743,10551
4,DOWN,0.3796,0.3801,10550
4,DOWN,0.3835,0.3743,10551
4,DOWN,0.3886,0.386,10549
4,DOWN,0.3935,0.3801,10550
4,DOWN,0.3984,0.3801,10550
4,DOWN,0.4023,0.3801,10550
4,DOWN,0.4066,0.3684,10552
4,DOWN,0.4115,0.4035,10546
4,DOWN,0.4164,0.4211,10543
4,DOWN,0.4213,0.3567,10554
4,DOWN,0.4252,0.3684,10552
4,DOWN,0.4291,0.3743,10551
4,DOWN,0.4337,0.3801,10550
4,DOWN,0.4384,0.3684,10552
4,DOWN,0.4432,0.3743,10551
4,DOWN,0.4482,0.4152,10544
4,DOWN,0.453,0.3801,10550
4,DOWN,0.4569,0.386,10549
4,DOWN,0.4612,0.3918,10548
4,DOWN,0.4662,0.3684,10552
4,DOWN,0.471,0.3801,10550
4,DOWN,0.4759,0.3684,10552
4,DOWN,0.4808,0.3684,10552
4,DOWN,0.4847,0.3743,10551
4,DOWN,0.489,0.3684,10552
4,DOWN,0.4939,0.3684,10552
4,DOWN,0.4988,0.3626,10553
4,DOWN,0.5037,0.3801,10550
4,DOWN,0.5086,0.386,10549
4,DOWN,0.5125,0.4035,10546
4,DOWN,0.5167,0.4269,10542
4,DOWN,0.5217,0.386,10549
4,DOWN,0.5266,0.3801,10550
4,DOWN,0.5316,0.3918,10548
4,DOWN,0.5366,0.3801,10550
4,DOWN,0.5415,0.386,10549
4,DOWN,0.5464,0.3801,10550
